id,budget,popularity,runtime,genres,release_date,vote_average,vote_count,revenue
19995,237000000,150.437577,162.0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",2009-12-10,7.2,11800,2787965087
285,300000000,139.082615,169.0,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",2007-05-19,6.9,4500,961000000
206647,245000000,107.376788,148.0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}]",2015-10-26,6.3,4466,880674609
49026,250000000,112.31295,165.0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",2012-07-16,7.6,9106,1084939099
49529,260000000,43.926995,132.0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",2012-03-07,6.1,2124,284139100
559,258000000,115.699814,139.0,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",2007-05-01,5.9,3576,890871626
38757,260000000,48.681969,100.0,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",2010-11-24,7.4,3330,591794936
99861,280000000,134.279229,141.0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",2015-04-22,7.3,6767,1405403694
767,250000000,98.885637,153.0,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]",2009-07-07,7.4,5293,933959197
209112,250000000,155.790452,151.0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",2016-03-23,5.7,7004,873260194
1452,270000000,57.925623,154.0,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",2006-06-28,5.4,1400,391081192
10764,200000000,107.928811,106.0,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",2008-10-30,6.1,2965,586090727
58,200000000,145.847379,151.0,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",2006-06-20,7.0,5246,1065659812
57201,255000000,49.046956,149.0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 37, ""name"": ""Western""}]",2013-07-03,5.9,2311,89289910
49521,225000000,99.398009,143.0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",2013-06-12,6.5,6359,662845518
2454,225000000,53.978602,150.0,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",2008-05-15,6.3,1630,419651413
24428,220000000,144.448633,143.0,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",2012-04-25,7.4,11776,1519557910
1865,380000000,135.413856,136.0,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",2011-05-14,6.4,4948,1045713802
41154,225000000,52.035179,106.0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}]",2012-05-23,6.2,4160,624026776
122917,250000000,120.965743,144.0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",2014-12-10,7.1,4760,956019788
1930,215000000,89.866276,136.0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",2012-06-27,6.5,6586,752215857
20662,200000000,37.668301,140.0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",2010-05-12,6.2,1398,310669540
57158,250000000,94.370564,161.0,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",2013-12-11,7.6,4524,958400000
2268,180000000,42.990906,113.0,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",2007-12-04,5.8,1303,372234864
254,207000000,61.22601,187.0,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}]",2005-12-14,6.6,2337,550000000
597,200000000,100.025899,194.0,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",1997-11-18,7.5,7562,1845034188
271110,250000000,198.372395,147.0,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",2016-04-27,7.1,7241,1153304495
44833,209000000,64.928382,131.0,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",2012-04-11,5.5,2114,303025485
135397,150000000,418.708552,124.0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",2015-06-09,6.5,8662,1513528810
37724,200000000,93.004993,143.0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",2012-10-25,6.9,7604,1108561013
558,200000000,35.149586,127.0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",2004-06-25,6.7,4321,783766341
68721,200000000,77.68208,130.0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",2013-04-18,6.8,8806,1215439994
